location,geom,latitude,longitude
"(29.9442169810375, -90.1002498523835)",,29.94421698,-90.10024985
"(29.9369321750276, -90.1113369818525)",,29.93693218,-90.11133698
"(29.9555159909393, -90.1116055354213)",,29.95551599,-90.11160554
"(530187.70942, 3678691.8167)",,530187.7094,3678691.817
"(30.0223382135287, -89.9954902569002)",,30.02233821,-89.99549026
"(29.9443139923805, -90.0507698735232)",,29.94431399,-90.05076987
"(30.0025607202171, -90.0758724363077)",,30.00256072,-90.07587244
"(30.0192890296381, -90.0994567322561)",,30.01928903,-90.09945673
"(29.9500783609134, -90.1219453991274)",,29.95007836,-90.1219454
"(30.0204284362262, -90.0517980186788)",,30.02042844,-90.05179802
"(29.9260812606961, -90.0867685624255)",,29.92608126,-90.08676856
"(29.9270362088397, -90.1136891291461)",,29.92703621,-90.11368913
"(29.9361601608655, -90.0477257338517)",,29.93616016,-90.04772573
"(29.9100843835803, -89.9916689735371)",,29.91008438,-89.99166897
"(29.9622811628786, -90.0406378820145)",,29.96228116,-90.04063788
"(29.9454320858108, -90.1207792038516)",,29.94543209,-90.1207792
"(29.9609078468653, -90.1231486641876)",,29.96090785,-90.12314866
"(29.9334503381766, -90.0169853666955)",,29.93345034,-90.01698537
"(29.9283108823752, -90.0915161941767)",,29.92831088,-90.09151619
"(30.0147588587238, -90.1038567629249)",,30.01475886,-90.10385676
"(29.9401919097043, -90.0983737062613)",,29.94019191,-90.09837371
"(29.9897244369969, -90.1151952519311)",,29.98972444,-90.11519525
"(30.0002389256601, -90.1024832987354)",,30.00023893,-90.1024833
"(29.9203512338998, -89.9959489610002)",,29.92035123,-89.99594896
"(30.0234033375258, -89.9762208098581)",,30.02340334,-89.97622081
"(30.0380979544697, -89.999888652316)",,30.03809795,-89.99988865
"(29.9189461873951, -90.0258825318369)",,29.91894619,-90.02588253
"(29.9750528012122, -90.1243343335554)",,29.9750528,-90.12433433
"(29.9431200930815, -90.0422550517058)",,29.94312009,-90.04225505
"(30.0215735967146, -90.0043668475539)",,30.0215736,-90.00436685
"(29.9436220791252, -90.1110020497365)",,29.94362208,-90.11100205
"(29.9394771541525, -90.0876662256985)",,29.93947715,-90.08766623
"(29.9156340092462, -90.0025921282842)",,29.91563401,-90.00259213
"(29.9323651545518, -90.104053456981)",,29.93236515,-90.10405346
"(29.9603322575417, -90.1096147710059)",,29.96033226,-90.10961477
"(29.918122090246, -89.9981683801359)",,29.91812209,-89.99816838
"(29.9842023152418, -90.0444409568129)",,29.98420232,-90.04444096
"(29.9933977632425, -90.1109219734873)",,29.99339776,-90.11092197
"(29.9196266574342, -90.0948402841644)",,29.91962666,-90.09484028
"(29.9645023006926, -90.052046328952)",,29.9645023,-90.05204633
"(30.0217252756625, -90.0247568341539)",,30.02172528,-90.02475683
"(29.9759035973971, -90.0688049261777)",,29.9759036,-90.06880493
"(29.9591012005753, -90.0215679850411)",,29.9591012,-90.02156799
"(29.9874822881982, -90.0539839324466)",,29.98748229,-90.05398393
"(30.0439517048359, -89.9307126247575)",,30.0439517,-89.93071262
"(30.0259579448104, -89.9670510155795)",,30.02595794,-89.96705102
"(30.0190260548635, -90.0115776549367)",,30.01902605,-90.01157765
"(29.9820747053133, -90.0612305065507)",,29.98207471,-90.06123051
"(29.9243862125699, -89.990748372752)",,29.92438621,-89.99074837
"(30.0201203413157, -90.0164942541848)",,30.02012034,-90.01649425
"(30.0011297122115, -90.1115224597016)",,30.00112971,-90.11152246
"(30.1558402115664, -89.7386493743733)",,30.15584021,-89.73864937
"(29.9251249206963, -89.9976153478228)",,29.92512492,-89.99761535
"(29.9213705965261, -90.1242051255993)",,29.9213706,-90.12420513
"(30.0112582812789, -90.1160755463757)",,30.01125828,-90.11607555
"(30.0208772817941, -90.0116598699679)",,30.02087728,-90.01165987
"(30.0158814543424, -90.0393444191005)",,30.01588145,-90.03934442
"(29.9448564612243, -90.0929615408426)",,29.94485646,-90.09296154
"(30.0237759233098, -89.9898552110072)",,30.02377592,-89.98985521
"(29.961591505901, -90.059789579274)",,29.96159151,-90.05978958
"(29.9828019035862, -90.0686609734475)",,29.9828019,-90.06866097
"(29.936375373981, -90.0887933002602)",,29.93637537,-90.0887933
"(29.9949736558172, -90.0514688305177)",,29.99497366,-90.05146883
"(30.0013482294615, -90.1180855411721)",,30.00134823,-90.11808554
"(29.975357986048, -90.0750827772909)",,29.97535799,-90.07508278
"(29.9917859956167, -90.1048200108864)",,29.991786,-90.10482001
"(30.0137257199037, -90.0613604846358)",,30.01372572,-90.06136048
"(29.9394303094271, -90.0232057576166)",,29.93943031,-90.02320576
"(29.917359886903, -90.0285502227261)",,29.91735989,-90.02855022
"(29.9523860484644, -90.109886850698)",,29.95238605,-90.10988685
"(30.0013226077765, -90.1167555309248)",,30.00132261,-90.11675553
"(29.9415282577102, -90.1027516026219)",,29.94152826,-90.1027516
"(30.0158168488249, -90.1120010444701)",,30.01581685,-90.11200104
"(29.9797910486524, -90.1048967647986)",,29.97979105,-90.10489676
"(30.0110074624121, -90.0391748231628)",,30.01100746,-90.03917482
"(30.0484831210272, -89.9737722486071)",,30.04848312,-89.97377225
"(29.9222522874878, -90.1110330554317)",,29.92225229,-90.11103306
"(30.0090554421781, -90.0567728314783)",,30.00905544,-90.05677283
"(29.9411045821923, -90.1112556489141)",,29.94110458,-90.11125565
"(29.9267204698987, -90.0807005625199)",,29.92672047,-90.08070056
"(29.9464896760099, -90.0741491608335)",,29.94648968,-90.07414916
"(29.963607932362, -90.0314981764903)",,29.96360793,-90.03149818
"(30.0327880604032, -89.9586935480515)",,30.03278806,-89.95869355
"(29.964118177148, -90.0640553539898)",,29.96411818,-90.06405535
"(29.9674961280509, -90.037078212309)",,29.96749613,-90.03707821
"(29.9272925764172, -90.1181019054881)",,29.92729258,-90.11810191
"(29.9222070110871, -90.003076788912)",,29.92220701,-90.00307679
"(29.930210700296, -90.0907956071148)",,29.9302107,-90.09079561
"(30.0162395743488, -90.1119468039683)",,30.01623957,-90.1119468
"(29.9403491600734, -90.1128985597812)",,29.94034916,-90.11289856
"(530187.70942, 3678691.8167)",,530187.7094,3678691.817
"(29.9539638509613, -90.1352567991397)",,29.95396385,-90.1352568
"(29.9662488388145, -90.0168481173318)",,29.96624884,-90.01684812
"(29.9390026013448, -90.0642826625268)",,29.9390026,-90.06428266
"(30.0163789783517, -90.1046901780096)",,30.01637898,-90.10469018
"(30.0312236997001, -90.0263059732223)",,30.0312237,-90.02630597
"(30.0149936952085, -90.0160260064503)",,30.0149937,-90.01602601
"(29.9403087103304, -90.1298691619943)",,29.94030871,-90.12986916
"(30.0247162890719, -90.051948954335)",,30.02471629,-90.05194895
"(30.0076450475261, -90.1056972817328)",,30.00764505,-90.10569728
"(29.9704583235411, -90.0685096087109)",,29.97045832,-90.06850961
"(29.9853601899041, -90.0348849371752)",,29.98536019,-90.03488494
"(29.9496154952849, -90.0940078460755)",,29.9496155,-90.09400785
"(29.9799311175156, -90.1071536671278)",,29.97993112,-90.10715367
"(30.0205248786277, -90.0922691035418)",,30.02052488,-90.0922691
"(29.9182333208898, -90.0256066375062)",,29.91823332,-90.02560664
"(29.948487179296, -90.1304097621653)",,29.94848718,-90.13040976
"(29.9272396003136, -90.0369388695641)",,29.9272396,-90.03693887
"(29.9226583361587, -90.0780036557052)",,29.92265834,-90.07800366
"(29.9692928624843, -90.0369080723317)",,29.96929286,-90.03690807
"(29.9430735787436, -90.0973121454269)",,29.94307358,-90.09731215
"(30.0070185407227, -90.1100573531832)",,30.00701854,-90.11005735
"(29.9234852733081, -89.9826213448832)",,29.92348527,-89.98262134
"(30.0162832593136, -90.1098804731322)",,30.01628326,-90.10988047
